N	AUC	WoundType
3646	0.867469448347162	Venous Leg Ulcer
2991	0.877554289501925	Pressure Ulcer
2715	0.864022362450476	Trauma
2596	0.859774128348194	Neuropathic diabetic wound
1791	0.861832592513254	Surgical Wound
1180	0.87370397235141	Neuro-ischemic diabetic wound
988	0.846312430973126	DWLE
659	0.843256849646626	Abscess
593	0.855582739424884	Arterial Insufficiency Ulcer
381	0.82645129948992	Infection
349	0.78131021194605	Partial thickness burn
320	0.833333333333333	Surgical - Dehiscence
241	0.963585434173669	To be determined
215	0.933401639344262	Inflammatory-Autoimmune
212	0.922394043528064	Atypical
205	0.945675675675676	Lymphedema
144	0.889329805996473	Vasculitis
141	0.847906403940887	Nondiabetic neuropathic ulcer
120	0.963169642857143	Full thickness burn
107	0.741125541125541	Radiation
100	0.841476091476091	Compromised skin graft
88	0.887671232876712	Vasculopathy
80	0.947916666666667	Malignant Wound
79	0.832167832167832	Other
59	0.785907859078591	Osteomyelitis
42	0.993421052631579	Cyst
41	0.58974358974359	Diabetic wound
13	0.75	Calciphylaxis
4	1	Sickle Cell Ulcer
