N	AUC	WoundType
3646	0.853348090024653	Venous Leg Ulcer
2991	0.850444258569535	Pressure Ulcer
2715	0.833834569378897	Trauma
2596	0.833248892316728	Neuropathic diabetic wound
1791	0.850202609828808	Surgical Wound
1180	0.838341694146618	Neuro-ischemic diabetic wound
988	0.815085695586371	DWLE
659	0.790250750314648	Abscess
593	0.843385455448002	Arterial Insufficiency Ulcer
381	0.805562302647559	Infection
349	0.863198458574181	Partial thickness burn
320	0.847293593696471	Surgical - Dehiscence
241	0.941176470588235	To be determined
215	0.920935792349727	Inflammatory-Autoimmune
212	0.889461626575029	Atypical
205	0.874054054054054	Lymphedema
144	0.90299823633157	Vasculitis
141	0.85006157635468	Nondiabetic neuropathic ulcer
120	0.872767857142857	Full thickness burn
107	0.722510822510823	Radiation
100	0.798856548856549	Compromised skin graft
88	0.779908675799087	Vasculopathy
80	0.913194444444444	Malignant Wound
79	0.841491841491842	Other
59	0.722222222222222	Osteomyelitis
42	0.973684210526316	Cyst
41	0.576923076923077	Diabetic wound
13	0.666666666666667	Calciphylaxis
4	1	Sickle Cell Ulcer
